PropertySetName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
LCAPset_ProductInformation,,IfcPropertySet,Document reference: EN ISO 22057 8.2.2 - Table 2 and Table 3,,,,,,,,
,NameOfOwner,IfcPropertySingleValue,"the manufacturer, or group of manufacturers, of the construction product that own the dataset",IfcLabel,unitless,,M,02xb3mjHD7VPQu6muPWLF5,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/nameofowner,,
,AlternativeName,IfcPropertySingleValue,Different name by which the owner of the declaration is also known.,IfcLabel,unitless,,O,3C99aw4Ur53eirrz$W$uw4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/alternativename,,
,OrganizationsRelated,IfcPropertyListValue,TBD,IfcLabel,unitless,,O,1UeQ3Cb3T7lhOnxmePiLnQ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/organizationsrelated,,
,UniqueIdentifier,IfcPropertySingleValue,TBD,IfcIdentifier,unitless,,M,34Ea_hYSXFPx1oGGbcvSoe,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/uniqueidentifier,,
,WebDomain,IfcPropertySingleValue,TBD,IfcURIReference,unitless,,O,01xxJuSQX0CeB3mbCi7L_Y,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/webdomain,,
,ProductName,IfcPropertySingleValue,product name,IfcLabel,unitless,,M,2I2MqAa5X7w8hZC7cDyzAR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/productname,,
,OrganizationsAuthorisedByTheOwnerSToUseTheDataToRepresentTheirProducts,IfcPropertyListValue,organisations authorised by the EPD owner(s) to use the EPD data to represent their products,IfcLabel,unitless,,O,0VQsomMUL3JA5qAo_baCAW,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/organizationsauthorisedbytheownerstousethedatatorepresenttheirproducts,,
,ManufacturerSProvidingData,IfcPropertyListValue,TBD,IfcLabel,unitless,,O,3czIR_qJnESvwrCvT6VxON,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/manufacturersprovidingdata,,
,ProductionSiteSName,IfcPropertyListValue,specific location(s) of the manufacturing site(s),IfcLabel,unitless,,M,3$ldfffAT9tx0QLTwXNNc3,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/productionsitesname,,
,ProductionSiteSInGMLISO191361,IfcPropertyListValue,specific location(s) of the manufacturing site(s) given in GML according to ISO 19136-1,IfcIdentifier,unitless,,O,1zvNlDA4j9NhJgWpY8Ppxn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/productionsitesingmliso191361,,
,PlusCodeSOpenLocationCodeOLC,IfcPropertyListValue,TBD,IfcIdentifier,unitless,,O,1wqjU$0UjDEgkW3VssnbAz,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/pluscodesopenlocationcodeolc,,
,RegionSISO31662,IfcPropertyListValue,"region(s) according to ISO 3166-2, for which the data set is representative",IfcLabel,unitless,,M,33nI0e1xP3WPR4Ynl7NQ6M,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/regionsiso31662,,
,ProductionTechnology,IfcPropertySingleValue,description of the technological characteristics of production process,IfcText,unitless,,O,1TCAtFQ$r2LAk3oxaknGa3,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/productiontechnology,,
,LanguageISO6391,IfcPropertySingleValue,the language code according to ISO 639-1,IfcLabel,unitless,,O,0TVUb2xqP9uAE$slRnyIti,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/languageiso6391,,
LCAPset_ContentDeclaration,,IfcPropertySet,Document reference: EN ISO 22057 8.2.3 - Table 4,,,,,,,,
,MainProductComponentsOrMaterialsType,IfcPropertySingleValue,Description of the main product components or material that make up the construction product or work,IfcText,unitless,,"M for ISO 21930, O for EN 15804:2012+A1:2013 and EN 15804:2012+A2:2019",1WhfJiAl51kfx6zvSBVYib,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/mainproductcomponentsormaterials-type,,MainProductComponentsOrMaterialsPercentageByMass
,MainProductComponentsOrMaterialsPercentageByMass,IfcPropertyListValue,Amount of main product components or materials,IfcPositiveRatioMeasure,unitless,,"M for ISO 21930, O for EN 15804:2012+A1:2013 and EN 15804:2012+A2:2020",2k8EOX_FH5Sxg4HBQ8S8a2,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/mainproductcomponentsormaterials-percentagebymass,MainProductComponentsOrMaterialsType,
,ContentOfRegulatedHazardousSubstances,IfcPropertySingleValue,Declaration of material content of regulated hazardous substances of the finished product,IfcText,unitless,,O,0w$1F7Vk17L8tW8yV$3Vu3,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/contentOfRegulatedHazardousSubstances,,
,ContentOfSubstancesOfVeryHighConcern,IfcPropertySingleValue,Substances of Very High Concern for Authorisation of the European Chemicals Agency.,IfcText,unitless,,M for EN 15804:2012+A2:2019,2uep_8KlHFZPgvETqtiHFG,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/contentOfSubstancesOfVeryHighConcern,,
,BiogenicCarbonContentWithinBioBasedProductsEN15804+A2:2019,IfcPropertySingleValue,The mass of carbon derived from biomass contained within the product.,IfcMassMeasure,kg C,,M for EN 15804:2012+A2:2019,2nF1CZFSvC5BByHwEyW0wX,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/biogenicCarbonContentWithinBioBasedProductsEN15804+A2:2019,,
,BiogenicCarbonContentWithinBioBasedProductsISO21930,IfcPropertySingleValue,The mass of carbon dioxide which has been sequestered as carbon within the biomass contained in the product.,IfcMassMeasure,kg CO2 eq. (100 years),,M for ISO 21930,066iuKAN9AhOuP0gHSlVPl,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/biogenicCarbonContentWithinBioBasedProductsISO21930,,
,PackagingType,IfcPropertySingleValue,Type of packaging used,IfcLabel,unitless,,M for ISO 21930,0$D7nYrTX5pxN$3kkaHlLq,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/packagingType,,PackagingAmount
,PackagingAmount,IfcPropertySingleValue,Amount of packaging used,IfcMassMeasure,kg,,M for ISO 21930,1buRiET$DDDgZHn8ytNxh7,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/packagingAmount,PackagingType,
,BiogenicCarbonContentPackagingEN15804+A2:2019,IfcPropertySingleValue,The mass of carbon derived from biomass contained within the packaging.,IfcMassMeasure,kg C,,M for EN 15804:2012+A2:2019,1nz5be$2fDO842DoqKSoPj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/biogeniccarboncontentpackagingen15804A22019,,
,BiogenicCarbonContentPackagingISO21930,IfcPropertySingleValue,The mass of carbon dioxide which has been sequestered as carbon within the biomass contained in the packaging,IfcMassMeasure,kg CO2 eq. (100 years),,M for ISO 21930,3lZQt4_954Se74cKie$BDZ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/biogeniccarboncontentpackagingiso21930,,
LCAPset_EPDType,,IfcPropertySet,Document reference: EN ISO 22057 8.2.4 - Table 5 and Table 6,,,,,,,,
,EPDTypeManufacturerRepresentationISO21930,IfcPropertyEnumeratedValue,"for declarations representing one or more manufacturers, a description of what the average represents",,unitless,PEnum_EPDTypeManufacturerRepresentation,M,17l2i9lkb8VwZ1mwl9rnFD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdtypemanufacturerrepresentationiso21930,,
,EPDTypeManufacturerRepresentationEN15804,IfcPropertyEnumeratedValue,"for declarations representing one or more manufacturers, a description of what the average represents",,unitless,PEnum_EPDTypeManufacturerRepresentation,M,3KFsD4olb5RxfR2dqR30EZ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdtypemanufacturerrepresentationEN15804,,
,EPDTypeProductRepresentativenessISO21930,IfcPropertyEnumeratedValue,"for declarations representing a product or group of similar products, a description of what the average represents",,unitless,PEnum_ProductRepresentativenessISO21930,M,3lHA992CDCZRVCvZuu9qQr,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdtypeproductrepresentativenessiso21930,,
,EPDTypeProductRepresentativenessEN15804,IfcPropertyEnumeratedValue,"for declarations representing similar products or a group of products, a description of what the average represents",,unitless,PEnum_ProductRepresentativenessEN15804,M,1y9z426lbFi97KrDFczDNI,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdtypeproductrepresentativenessEN15804,,
LCAPset_ProgrammeOperator,,IfcPropertySet,Document reference: EN ISO 22057 8.2.5 - Table 7 and Table 8,,,,,,,,
,EPDProgrammeOperator,IfcPropertySingleValue,The program operator that publishes the EPD,IfcLabel,unitless,,M,04JOWJlvj49ebQ1ftBh3$_,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdProgrammeOperator,,
,PublicationDateOfEPD,IfcPropertySingleValue,"The date of the time period for which the data set is valid. This date also determines when a data set review/remodelling is required or recommended due to expected relevant changes in environmentally or technically relevant inventory values, including in the background system.",IfcDate,unitless,,M,3HRWYEBbbDzhUdMvoAK5Sx,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/publicationDateOfEPD,,
,RevisionDateOfEPD,IfcPropertySingleValue,Date when the original or revised EPD was published,IfcDate,unitless,,O,11tjE26RfDOBRpg3hOkJJX,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/revisionDateOfEPD,,
,DataSetValidUntil,IfcPropertySingleValue,The period for which the data set is valid until a review is required,IfcDate,unitless,,M,0pb8bLdMf3SB$4iV$cRvsI,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/dataSetValidUntil,,
,EPDRegistrationNumber,IfcPropertySingleValue,"The unique number of an EPD, which can be published in different EPD programmes with different ID",IfcIdentifier,unitless,,M,2txQS3gq114gZSFxVagfsC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/epdRegistrationNumber,,
,TypeOfVerification,IfcPropertyEnumeratedValue,The type of verification that can be performed internally or externally (third party verification),,unitless, PEnum_TypeOfVerification,M,1xYmWRQzX2P9KClp9DAa1E,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/typeOfVerification,,
,NameOfVerifier,IfcPropertySingleValue,The name of the person or group of persons who verified the EPD,IfcLabel,unitless,,M,1VuTNpq795DfPt7dqfztsB,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/nameOfVerifier,,
,NameOfVerifierOrganization,IfcPropertySingleValue,The name of the organization to which the verifier is affiliated,IfcLabel,unitless,,M,3GsHjd29n0RANH_H9Y6vct,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/nameOfVerifierOrganization,,
,ReferenceToOriginalEPD,IfcPropertySingleValue,A hyperlink to the original EPD according to standard PCR,IfcURIReference,unitless,,M,3n5P8a1SLD18_Oiz0PDiiu,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referencetooriginalepd,,
,LinkToTheOtherMachineReadableDatasets,IfcPropertySingleValue,TBD,IfcURIReference,unitless,,O,0y45AJkn9BhwFwFVThTDGT,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/linktotheothermachinereadabledatasets,,
LCAPset_TechnicalData,,IfcPropertySet,"Document reference: EN ISO 22057 8.2.6. Product specific properties such as density, acoustic performance, dimensions, range.",,,,,,,,
LCAPset_EPDMethodologicalSpecification,,IfcPropertySet,Document reference: EN ISO 22057 8.3.2 - Table 9 and Table 10.,,,,,,,,
,CorePCR,IfcPropertyEnumeratedValue,"Set of specific rules, requirements and guidelines for developing EPDs for the entire product category, construction products, i.e. ISO 21930 or EN 15804",,unitless,PEnum_CorePCR,M,0TT0ULdj57Fgn7pRt9knwl,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/corePCR,,
,ProgrammeOperatorHorizontalPCR,IfcPropertySingleValue,Programme operator horizontal PCR including version number and year published,IfcText,unitless,,O,28_uvJ7J58hRrxA5cx02Z5,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/programmeOperatorHorizontalPCR,,
,ProductLevelPCRStandard,IfcPropertySingleValue,Standard PCR including version number and year published,IfcText,unitless,,O,2ixPI_H7PDZ9sbfL0WmBQb,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/productLevelPCRStandard,,
,ProgrammeOperatorProductLevelPCR,IfcPropertySingleValue,Programme operator product level PCR including version number and year published,IfcText,unitless,,O,3LkEWtC2r5yhfQUWQA4xd$,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/programmeOperatorProductLevelPCR,,
,InformationModule,IfcPropertyEnumeratedValue,Compilation of data to be used as a basis for a Type III environmental declaration covering a unit process or a combination of unit processes that are part of the life cycle of a product,,unitless,PEnum_InformationModule,M,2XDdHDgHz2kvKv3UEMeWmr,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/informationModule,,
,CutOffRulesComplyWithStandardPCR,IfcPropertySingleValue,Compliance with rules for including or excluding input or output flows to a process unit or a product system given in a core PCR,IfcBoolean,unitless,,M,2wOm7iFYn5zxW6Q$NrJbfw,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/cutOffRulesComplyWithStandardPCR,,
,AllocationCompliesWithStandardPCR,IfcPropertySingleValue,Alignment with allocation rules given in the core PCR,IfcBoolean,unitless,,M,1Ba44IonH1R8$ch05VXqCO,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/allocationCompliesWithStandardPCR,,
,BackgroundLCIDatabaseAndVersion,IfcPropertySingleValue,The background LCI database used to model the LCA including the version,IfcText,unitless,,M,0VfG_WGD1F0P4HN2kIu3nk,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/backgroundLCIDatabaseAndVersion,,
,UseOfUpstreamDataWhichDoesNotRespectTheAllocationPrinciplesOfTheCorePCR,IfcPropertySingleValue,TBD,IfcBoolean,unitless,,M,2R_kkkqQPAwBVYeipIRTk2,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/useOfUpstreamDataWhichDoesNotRespectTheAllocationPrinciplesOfTheCorePCR,,
,GenericLCAData,IfcPropertySingleValue,"Surrogate LCA data used if no system specific data are available. Note: Data that is not site or enterprise specific. Generic LCA data includes industry average EPD, or data from LCI and LCA databases and can be provided for all information modules.",IfcBoolean,unitless,,M,1usRiiL7PDwg6EB7YJdIGC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/genericLCAData,,
,GenericLCAHost,IfcPropertySingleValue,The practitioner or organisation that has created the generic LCA data.,IfcText,unitless,,O,2fWQwixXX8rxfVzQSUzyRB,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/genericLCAHost,,
,GenericLCALocation,IfcPropertySingleValue,TBD,IfcText,unitless,,O,0Kg3R3rErBLQiS47jEa3z8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/genericLCALocation,,
LCAPset_ReferenceUnitAndRSL,,IfcPropertySet,Document reference: EN ISO 22057 8.3.3 - Table 11 and Table 12.,,,,,,,,
,ReferenceUnitType,IfcPropertyEnumeratedValue,"The type of quantity used as the reference unit, e.g., volume, mass.",,unitless,PEnum_ReferenceUnitType,M,35mwcsTET1792R0fsywW8T,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceUnitType,,
,Application,IfcPropertySingleValue,Designation of application or intended use given by manufacturer,IfcText,unitless,,M for functional unit,3LtH3zTkTAtvN_Dc64HOcJ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/application,,
,TimePeriod,IfcPropertySingleValue,The time period over which the functionality of the product is provided.,IfcTimeMeasure,yr,,M for functional unit,2Pmx$sBtD5q92CkBKVR$z1,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/timePeriod,,
,ReferenceServiceLifeISO15686-8,IfcPropertySingleValue,The service life of a building product as expected under a particular set.,IfcTimeMeasure,yr,,M for functional unit,0xzayR1W531O7oo$3C0O4l,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceServiceLifeISO15686-8,,
,FactorsAndFactorCategoriesISO15686-8,IfcPropertyEnumeratedValue,Factors and categories of in-use conditions that are considered in the determination of an ESDL from an RSL.,,unitless,PEnum_FactorsAndFactorCategoriesISO15686_8,M for functional unit,2TArehv3r6xxXowV_NxkZK,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/factorsAndFactorCategoriesISO15686-8,,
,InUseConditionGradeISO15686-8,IfcPropertyEnumeratedValue,Designation representing a qualitative description of the in-use condition grading.,,unitless,PEnum_InUseConditionGradeISO15686_8,M for functional unit,34rPkd$JLEx9jGDkMdjIGs,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/inUseConditionGradeISO15686-8,,
,ReferenceQuantityItem,IfcPropertySingleValue,"An item, an assemblage of items",IfcCountMeasure,unitless,,O,3M2UHyXRPDvf5JuuPTNYtJ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityItem,,
,ReferenceQuantityMass,IfcPropertySingleValue,Mass quantity of a construction product for use as a reference unit in an EPD,IfcMassMeasure,kg,,O,2v2Psp_3n7lQQ8g8W_20jF,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityMass,,
,ReferenceQuantityLength,IfcPropertySingleValue,Length quantity of a construction product for use as a reference unit.,IfcPositiveLengthMeasure,m,,O,3YZsCVKnnCnA1ZzkND3vmD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityLength,,
,ReferenceQuantityArea,IfcPropertySingleValue,Area quantity of a construction product for use as a reference unit.,IfcAreaMeasure,m2,,O,0_TJdgAuTB6wbrz7FSAZhR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityArea,,
,ReferenceQuantityVolume,IfcPropertySingleValue,Volume quantity of a construction product for use as a reference unit in an EPD,IfcVolumeMeasure,m3,,O,3hPvKyBtD30h$90jJSI2yM,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityVolume,,
,MassConversionFactor,IfcPropertySingleValue,Conversion factor to mass (kg) per declared or functional unit,IfcReal,unitless,,M,0YXuyZa8bCZOBwkGwVTktB,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/massConversionFactor,,
LCAPset_ReferenceQuantityAnsScalingFactor,,IfcPropertySet,Document reference: EN ISO 22057 8.3.4. Product specific properties such as scaling factor or thickness.,,,,,,,,
LCAPset_ScenarioA4,,IfcPropertySet,Document reference: EN ISO 22057 8.4.2 Table 14 and Table 15.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,GeographicalInformation,IfcPropertySingleValue,The location where the scenario is relevant,IfcLabel,unitless,,O,0tGDTqPAnBmxcd18vL80Cv,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/geographicalinformation,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioTransport,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioA5,,IfcPropertySet,Document reference: EN ISO 22057 8.4.3 Table 16 and Table 17.,,,,,,,,
