PropertySetName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioPackagingWasteHandling,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB1,,IfcPropertySet,Document reference: EN ISO 22057 8.4.4 Table 18 and Table 19.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,ReleasedSubstanceToAirSoilWater,IfcPropertySingleValue,"Description of type of substance spilling, leaking, etc.",IfcText,unitless,,O,0nKQY2lZ19DvujGZbHIPc4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/releasedSubstanceToAirSoilWater,,"BasisForCalculationOrEstimation, LocationOfEmission, ReleasedAmount"
,ReleasedAmount,IfcPropertySingleValue,"Amount of spilling, leaking, pumping, etc.",IfcReal,kg/(FU/DU),,O,3b_DO_z69FqfPvPxtbhIW4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/releasedAmount,ReleasedSubstanceToAirSoilWater,
,LocationOfEmission,IfcPropertyEnumeratedValue,Location where emissions arise,,unitless,PEnum_LocationOfEmission,O,33ZXV6lyHC3805IXkao8W9,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/locationOfEmission,ReleasedSubstanceToAirSoilWater,
,BasisForCalculationOrEstimation,IfcPropertySingleValue,"As a general rule, specific data derived from specific production processes shall be the first choice as a basis for calculating an EPD",IfcText,unitless,,O,1dQB2okDv2086xDJkHeY3j,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/basisForCalculationOrEstimation,ReleasedSubstanceToAirSoilWater,
LCAPset_ScenarioB2,,IfcPropertySet,Document reference: EN ISO 22057 8.4.5 Table 20 and Table 21.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioMaintenanceProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB3B4B5,,IfcPropertySet,Document reference: EN ISO 22057 8.4.6 Table 22 and Table 23.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioRepairProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioReplacementProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioRefurbishmentProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB6B7,,IfcPropertySet,"Document reference: EN ISO 22057 8.4.7. 
For energy using products, the information may include the energy type and energy consumption per unit of time, the power output, energy efficiency, emissions, variation of performance with capacity utilization, or scenario information such as frequency and period of use. 
For water using products, the information may include the type of water used, the amount of water used per unit of time, the amount of wastewater generated per unit of time, and the fate of the wastewater, e.g. evaporation, discharge to sewer.",,,,,,,,
LCAPset_ScenarioC1,,IfcPropertySet,Document reference: EN ISO 22057 8.4.8 Table 24.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioDemolitionDeconstructionProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioC2,,IfcPropertySet,Document reference: EN ISO 22057 8.4.9 Table 14 and Table 15.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,GeographicalInformation,IfcPropertySingleValue,The location where the scenario is relevant,IfcLabel,unitless,,O,0tGDTqPAnBmxcd18vL80Cv,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/geographicalinformation,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioTransport,IfcComplexProperty,,,,,O,,,,
LCAPset_ScenarioC3,,IfcPropertySet,Document reference: EN ISO 22057 8.4.10 Table 25.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,RecyclingRateExplanation,IfcPropertySingleValue,Description of how the recycling rate is derived,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0HkYLwY4D9YO03rt_t15lg,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recyclingRateExplanation,,
,RecyclingRate,IfcPropertySingleValue,The efficiency of recycling process,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0iv$MflpXAoeN_iRmxpsVF,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recyclingRate,,
,EnergyRecoveryExplanation,IfcPropertySingleValue,Description of type of energy recovery,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3X5qMf6HbF0gC_gzDatIWQ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/energyRecoveryExplanation,,
,EnergyRecovery,IfcPropertySingleValue,Percentage of waste used for energy recovery,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1cDoRddzjENuAjGEXugZFC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/energyRecovery,,
,RecoveryRateExplanation,IfcPropertySingleValue,Description of how recovery rate is derived,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1KFUaiXIPCt82jrG_QiQHD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recoveryRateExplanation,,
,RecoveryRate,IfcPropertySingleValue,"The total quantity of waste recovered or incinerated at waste incineration plants with energy recovery, divided by the total quantity of waste incinerated",IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0zmeiK3DTAVBSam9r8A8LR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recoveryRate,,
LCAPset_ScenarioC4,,IfcPropertySet,Document reference: EN ISO 22057 8.4.11 Table 26.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LandfillType,IfcPropertySingleValue,"Landfills are classified as landfills for hazardous waste, for non-hazardous waste, and for inert waste. Note: In E",IfcLabel,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3lNR7JQM97CuslbZvrAfm0,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/landfillType,,
,DegradationRateInLandfill,IfcPropertySingleValue,Percentage of biogenic carbon which will degrade to form landfill gas within 100 years,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0W20n7Y2r0ae_pjD79Z1Rb,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/degradationRateInLandfill,,
,CO2CH4Split,IfcPropertySingleValue,Ratio between the amount of the landfill gases CO2 and CH4 generated as a result of the decomposition of solid,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3Z2sNQG8H9QxhX533vmw6L,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/CO2CH4Split,,
,LandfillGasCaptureRate,IfcPropertySingleValue,The rate at which emissions of methane and other pollutants are captured from landfills.,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1_vY6AFMb9lQsR8G7gE7O6,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/landfillGasCaptureRate,,
,LandfillGasEnergyRecoveryAsHeat,IfcPropertySingleValue,Energy recovered as heat from combustion of landfill gas,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",2q3Sjl$cz0tP$QEYiYek52,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/landfillGasEnergyRecoveryAsHeat,,
,LandfillGasEnergyRecoveryAsElectricity,IfcPropertySingleValue,Energy recovered as electricity from combustion of landfill gas,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0PzELgElzDKviOHEpkvgJk,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/landfillGasEnergyRecoveryAsElectricity,,
LCAPset_ModuleD,,IfcPropertySet,Document reference: EN ISO 22057 8.4.12 Table 27.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,OutputFlowModule,IfcPropertyEnumeratedValue,The module(s) from which the considered output flow leaves the system,,unitless,PEnum_OutputFlowModule,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3oYnSpvyH02f1629yGMuwL,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/outputFlowModule,,
,OutputFlowDescription,IfcPropertySingleValue,"A description of the considered net output flow of reused material, secondary fuel or recovered energy",IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3SFh8aoZfF4ekWraGfxN6s,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/outputFlowDescription,,
,CalculatedNetOutputFlowMass,IfcPropertySingleValue,"The quantity of the considered net output flow of reused material, secondary material, or secondary fuel calculated in mass",IfcMassMeasure,kg,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1EmmwjBMDCYwnDMIeUi9dp,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/calculatedNetOutputFlowMass,,
,CalculatedNetOutputFlowEnergy,IfcPropertySingleValue,The quantity of the considered net output flow of energy calculated in accordance with ISO 21930 7.1.7.6,IfcEnergyMeasure,kWh,,,0uHSKnkwH9MRtE1lpIFr$m,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/calculatedNetOutputFlowEnergy,,
,ProcessToReachPointOfSubstitution,IfcPropertySingleValue,Description of any process that net output flows entering Module D require to reach the point of substitution,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1h3Zlz9kHANQWXZ$UnYVJD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processToReachPointOfSubstitution,,
,PointOfSubstitution,IfcPropertySingleValue,Point at which the net output flow entering module D substitutes for primary material or energy. This may be as it enters Module D or at a later stage.,IfcLabel,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3WLzxUHA1DbPjQmOJmQVKs,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/pointOfSubstitution,,
,SelectedSubstitutionProcesses,IfcPropertySingleValue,Description of the material or energy which is substituted in Module D,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1BVEbwGGDDcPC21jYt3lgz,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/selectedSubstitutionProcesses,,
,RecoveryRateExplanation,IfcPropertySingleValue,Description of how recovery rate is derived,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1KFUaiXIPCt82jrG_QiQHD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recoveryRateExplanation,,
,RecoveryRate,IfcPropertySingleValue,"The total quantity of waste recovered or incinerated at waste incineration plants with energy recovery, divided by the total quantity of generated waste.",IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",0zmeiK3DTAVBSam9r8A8LR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/recoveryRate,,
,AssumptionOnCorrectionFactor,IfcPropertySingleValue,Applying a justified correction factor to reflect the difference in functional equivalence where the processed net output flow does not reach the functional equivalence of the substituting process.,IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",2UB5jxVo18cup_11wRn$55,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/assumptionOnCorrectionFactor,,
,CorrectionFactor,IfcPropertySingleValue,Factor that reflects the difference in functional equivalence where the processed net output flow does not reach the functional equivalence of the substituting process.,IfcPositiveRatioMeasure,pct,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",1DqG2UXtz4_Rl_4Z6IOzXr,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/correctionFactor,,
LCAPset_EnvironmentalIndicators,,,Document reference: EN ISO 22057 8.5.,,,,,,,,