PEnumName,EnumerationValues,DataType,
PEnum_InformationModule,,,
,A1,IfcLabel,
,A2,IfcLabel,
,A3,IfcLabel,
,A1-A3,IfcLabel,
,A4,IfcLabel,
,A5,IfcLabel,
,B1,IfcLabel,
,B2,IfcLabel,
,B3,IfcLabel,
,B4,IfcLabel,
,B5,IfcLabel,
,B6,IfcLabel,
,B7,IfcLabel,
,C1,IfcLabel,
,C2,IfcLabel,
,C3,IfcLabel,
,C4,IfcLabel,
,D,IfcLabel,
PEnum_ReviewType,,,
,INTERNAL,IfcLabel,
,EXTERNAL,IfcLabel,
PEnum_LCAObjective,,,
,COMPERATIVEASSERTION,IfcLabel,
,STANDALONELCA,IfcLabel,
PEnum_BuildingStatus,,,
,NEW,IfcLabel,
,EXISTING,IfcLabel,
PEnum_LCAPurpose,,,
,INTERNAL,IfcLabel,
,EXTERNAL,IfcLabel,
,FORCONSUMERTOCONSUMER,IfcLabel,
,PUBLICATION,IfcLabel,
,OTHER,IfcLabel,
PEnum_LevelOfComplexity,,,
,SCREENING,IfcLabel,
,SIMPLIFIED,IfcLabel,
,COMPLETE,IfcLabel,