TableColumnIdentfier,IFCType,Description,DataType,ReferenceTo,ISO22057GUID
A1,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A1,IfcLabel,,0ZoVXaJVvEOgEriX0$OK5Q
A2,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A2,IfcLabel,,2bCoJTrejE8gQ1gKzSp_fY
A3,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A3,IfcLabel,,3_ThxOkqPFbQf8Bkyupkv1
A1-A3,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A1-A3,IfcLabel,,2vdgJ9ekr0VB9qYFjk8UD_
A4,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A4,IfcLabel,LCAPset_ScenarioA4,3llVtbo9TDq9wyi4m5N6st
A5,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/A5,IfcLabel,LCAPset_ScenarioA5,1N34rICm1EHew1RiaWnlHy
B1,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B1,IfcLabel,LCAPset_ScenarioB1,3iKU$mlRD14hl3ZFBzFjZ$
B2,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B2,IfcLabel,LCAPset_ScenarioB2,1kOX8pW9fCegKO34_KMhMn
B3,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B3,IfcLabel,LCAPset_ScenarioB3B4B5,25sxFfAgzE7wBoK$W7$Yft
B4,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B4,IfcLabel,LCAPset_ScenarioB3B4B5,2YGLoQAe1F_9LerwCl$Rl5
B5,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B5,IfcLabel,LCAPset_ScenarioB3B4B5,2Motpd1R5AkgRcuS4F45xr
B6,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B6,IfcLabel,LCAPset_ScenarioB6B7,28cnYnQ317iP$oeb7462nL
B7,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/B7,IfcLabel,LCAPset_ScenarioB6B7,1XrkQVZWf1j8i5u1SMC6vJ
C1,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/C1,IfcLabel,LCAPset_ScenarioC1,2JsOJppzDFvg1Q_daZMnf6
C2,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/C2,IfcLabel,LCAPset_ScenarioC2,0hwkjUvpD4x8_ze6jIRm9T
C3,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/C3,IfcLabel,LCAPset_ScenarioC3,2GDydl7TLFOP0JTwuIUiMs
C4,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/C4,IfcLabel,LCAPset_ScenarioC4,1v$H$lbH1Ao9Gd7j1ejUqc
D,IfcTableColumn,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/information_module/value/D,IfcLabel,LCAPset_ModuleD,2urkhoDKz1jg7e$1pgMdhg